,count,WORD,TAG,reinforcer,score
0,1201,하,VV,1,0
1,899,이,VCP,1,0
2,740,안,MAG,1,0
3,691,안,NNG,1,0
4,687,되,VV,1,0
5,606,오류,NNP,1,0
6,506,서버,NNP,1,0
7,406,어플,NNP,1,0
8,403,뜨,VV,1,0
9,386,계속,MAG,1,0
10,369,있,VV,1,0
11,365,왜,MAG,1,0
12,300,로그인,NNP,1,0
13,294,인증,NNP,1,0
14,293,은행,NNG,1,0
15,285,쓰,VV,1,0
16,267,지,VX,1,0
17,259,않,VX,1,0
18,257,주,VX,1,0
19,251,이체,NNG,1,0
20,247,들어가,VV,1,0
21,239,없,VA,1,0
22,235,다시,MAG,1,0
23,224,접속,NNG,1,0
24,219,잘,MAG,1,0
25,219,업데이트,NNP,1,0
26,209,이렇,VA,1,0
27,205,로딩,NNP,1,0
28,197,사용,NNG,1,0
29,175,좋,VA,1,0
30,166,좀,MAG,1,0
31,159,걸,VV,1,0
32,155,같,VA,1,0
33,151,만들,VV,1,0
34,150,발생,NNG,1,0
35,147,화면,NNG,1,0
36,146,접속,NNP,1,0
37,143,진짜,MAG,1,0
38,142,번호,NNG,1,0
39,141,신한,NNP,1,0
41,140,너무,MAG,1,0
40,140,문제,NNG,1,0
42,138,갑자기,MAG,1,0
43,137,보,VV,1,0
44,136,깔,VV,1,0
45,130,오류,NNG,1,0
46,129,아니,VCN,1,0
47,128,못하,VX,1,0
48,120,나오,VV,1,0
49,119,후,NNG,1,0
51,117,나,VV,1,0
50,117,가요,NNP,1,0
52,116,느리,VA,1,0
53,114,때,NNG,1,0
54,106,다,MAG,1,0
55,104,불편,NNG,1,0
56,103,지금,MAG,1,0
57,103,시간,NNG,1,0
58,100,게,NNG,1,0
59,99,자꾸,MAG,1,0
60,98,해결,NNG,1,0
61,97,어떻,VA,1,0
62,97,계좌,NNP,1,0
63,96,실행,NNG,1,0
64,95,아니,MAG,1,0
65,95,설치,NNG,1,0
66,95,계좌,NNG,1,0
67,94,확인,NNG,1,0
68,94,신한은행,NNP,1,0
70,92,지우,VV,1,0
69,92,오늘,NNG,1,0
71,88,많,VA,1,0
72,87,등록,NNG,1,0
73,86,받,VV,1,0
74,81,급하,VA,1,0
75,81,켜,VV,1,0
76,80,무한,NNP,1,0
77,80,빨리,MAG,1,0
81,79,개선,NNG,1,0
80,79,오,VV,1,0
79,79,바꾸,VV,1,0
78,79,넘어가,VV,1,0
82,77,쏘,VV,1,0
83,77,짜증,NNP,1,0
84,76,그렇,VA,1,0
85,72,못,MAG,1,0
86,70,처음,NNG,1,0
87,70,부탁,NNG,1,0
88,70,걸리,VV,1,0
91,68,하나,NR,1,0
92,68,빠르,VA,1,0
89,68,보,VX,1,0
90,68,모바일,NNP,1,0
93,66,이용,NNG,1,0
94,65,삭제,NNG,1,0
95,65,연결,NNG,1,0
96,65,드리,VV,1,0
97,64,누르,VV,1,0
99,63,거래,NNG,1,0
98,63,자체,NNG,1,0
101,62,오류로,NNP,1,0
100,62,편하,VA,1,0
102,61,있,VX,1,0
103,61,가,VV,1,0
104,60,알리,VV,1,0
105,59,모르,VV,1,0
106,59,금융,NNG,1,0
107,58,열리,VV,1,0
108,57,필요,NNG,1,0
111,56,돈,NNG,1,0
109,56,전화,NNG,1,0
110,56,놓,VX,1,0
112,55,어쩌,VV,1,0
113,55,업데이트,NNG,1,0
114,54,로그인,NNG,1,0
115,54,아예,MAG,1,0
116,54,가입,NNG,1,0
117,53,지문,NNP,1,0
118,52,뱅킹,NNG,1,0
119,51,인증,NNG,1,0
120,50,업무,NNG,1,0
122,50,쓰레기,NNP,1,0
121,50,튕기,VV,1,0
123,49,편리,NNG,1,0
124,49,전,NNG,1,0
125,49,그냥,MAG,1,0
126,49,고치,VV,1,0
127,48,말,VX,1,0
128,48,싶,VX,1,0
129,47,에러,NNG,1,0
130,46,아,IC,1,0
132,44,보이,VV,1,0
133,44,입력,NNG,1,0
134,44,가능,XR,1,0
131,44,더,MAG,1,0
135,43,와이파이,NNP,1,0
136,43,신분증,NNP,1,0
137,43,나서,VV,1,0
140,42,답답,XR,1,0
141,42,생기,VV,1,0
139,42,정말,MAG,1,0
138,42,삭제,NNP,1,0
142,41,관리,NNG,1,0
143,41,아깝,VA,1,0
144,40,이후,NNG,1,0
145,40,발급,NNG,1,0
146,40,먹,NNG,1,0
153,39,대기,NNP,1,0
152,39,설정,NNG,1,0
151,39,공인인증서,NNP,1,0
150,39,창,NNG,1,0
149,39,변경,NNG,1,0
148,39,타행,NNG,1,0
147,39,메시지,NNP,1,0
154,38,인식,NNG,1,0
155,38,말,NNG,1,0
156,38,사람,NNG,1,0
157,38,해도,NNP,1,0
159,37,조치,NNG,1,0
158,37,불가,NNG,1,0
160,36,주거래,NNG,1,0
162,36,설치,NNP,1,0
163,36,바라,VV,1,0
164,36,진행,NNG,1,0
161,36,보내,VV,1,0
167,35,리뷰,NNP,1,0
168,35,실행,NNP,1,0
169,35,기능,NNG,1,0
166,35,무선,NNP,1,0
165,35,끄,VV,1,0
170,34,넘,VV,1,0
171,34,은행,NNP,1,0
172,34,버리,VX,1,0
173,34,최악,NNG,1,0
174,33,시도,NNG,1,0
175,33,알,VV,1,0
179,32,제발,MAG,1,0
180,32,반복,NNG,1,0
